Counter,Time(s),
0,0.0169999599457,0.0
1,0.105000019073,0.0
2,0.184000015259,0.0
3,0.261000156403,0.0
4,0.338000059128,0.0
5,0.414999961853,0.0
6,0.493999958038,0.0
7,0.583000183105,0.0
8,0.660000085831,0.0
9,0.736999988556,0.0
10,0.8140001297,0.0
11,0.893000125885,0.0
12,0.969000101089,0.0
13,1.05800008774,0.0
14,1.1360001564,0.0
15,1.21300005913,0.0
16,1.29100012779,0.0
17,1.367000103,0.0
18,1.44500017166,0.0
19,1.52100014687,0.0
20,1.60000014305,0.0
21,1.67700004578,0.0
22,1.75500011444,0.0
23,1.83200001717,0.0
24,1.90799999237,0.0
25,1.99800014496,0.0
26,2.07400012016,0.0
27,2.15100002289,0.0
28,2.22900009155,0.0
29,2.30500006676,0.0
30,2.38199996948,0.0
31,2.47099995613,0.0
32,2.54800009727,0.0
33,2.62600016594,0.0
34,2.70300006866,0.0
35,2.77999997139,0.0
36,2.85700011253,0.0
37,2.93400001526,0.0
38,3.01300001144,0.0
39,3.09000015259,0.0
40,3.16600012779,0.0
41,3.24399995804,0.0
42,3.32100009918,0.0
43,3.41100001335,0.0
44,3.48699998856,0.0
45,3.5640001297,0.0
46,3.64100003242,0.0
47,3.71800017357,0.0
48,3.79500007629,0.0
49,3.88400006294,0.0
50,3.96099996567,0.0
51,4.03800010681,0.0
52,4.11500000954,0.0
53,4.1930000782,0.0
54,4.26999998093,0.0
55,4.34700012207,0.0
56,4.42499995232,0.0
57,4.50200009346,0.0
58,4.57899999619,0.0
59,4.65600013733,0.0
60,4.73399996758,0.0
61,4.82299995422,0.0
62,4.90000009537,0.0
63,4.97800016403,0.0
64,5.05599999428,0.0
