Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
0.0,-1.77780000E-07,-1.55301100E-03,-15.3006009852,+1.55624470E+00
2.08399987221,-2.00210000E-07,-1.55144000E-03,-15.2851231527,+1.55624600E+00
4.16499996185,-2.18780000E-07,-1.55075900E-03,-15.2784137931,+1.55620710E+00
6.24599981308,-2.27860000E-07,-1.66278800E-03,-16.3821477833,+1.55622270E+00
8.32799983025,-2.21720000E-07,-1.65514400E-03,-16.3068374384,+1.55619150E+00
10.4099998474,-2.26660000E-07,-1.81414900E-03,-17.8733891626,+1.55618120E+00
12.4909999371,-2.30530000E-07,-1.86284000E-03,-18.3531034483,+1.55615260E+00
14.5720000267,-2.16240000E-07,-1.79685800E-03,-17.7030344828,+1.55613700E+00
16.6539998055,-2.07290000E-07,-1.49928000E-03,-14.7712315271,+1.55614740E+00
18.7349998951,-1.98610000E-07,-1.49896600E-03,-14.768137931,+1.55612150E+00
20.8159999847,-2.17980000E-07,-1.49860000E-03,-14.7645320197,+1.55611630E+00
22.8980000019,-1.98610000E-07,-1.49911000E-03,-14.7695566502,+1.55608770E+00
24.9789998531,-1.91130000E-07,-1.49894000E-03,-14.7678817734,+1.55606700E+00
27.0599999428,-1.97140000E-07,-1.49916300E-03,-14.7700788177,+1.55605140E+00
29.1399998665,-1.84720000E-07,-1.49918900E-03,-14.7703349754,+1.55603580E+00
31.2219998837,-1.98210000E-07,-1.49900500E-03,-14.7685221675,+1.55602540E+00
33.3029999733,-1.97940000E-07,-1.49891400E-03,-14.7676256158,+1.55601240E+00
35.3849999905,-1.90200000E-07,-1.55939800E-03,-15.3635270936,+1.55600210E+00
37.4659998417,-2.00480000E-07,-1.64657100E-03,-16.2223743842,+1.55599950E+00
39.5469999313,-1.84450000E-07,-1.73642700E-03,-17.1076551724,+1.55596570E+00
41.6289999485,-1.89400000E-07,-1.86672800E-03,-18.391408867,+1.55596310E+00
43.7109999657,-1.80180000E-07,-2.09462200E-03,-20.6366699507,+1.55594500E+00
45.7919998169,-1.73770000E-07,-2.49921600E-03,-24.622817734,+1.55592680E+00
47.8729999065,-1.87790000E-07,-2.73642700E-03,-26.9598719212,+1.55592940E+00
49.9539999962,-1.85250000E-07,-3.27828500E-03,-32.2983743842,+1.55588920E+00
52.0360000134,-1.62550000E-07,-3.43395300E-03,-33.8320492611,+1.55587750E+00
54.1159999371,-1.80450000E-07,-3.79971100E-03,-37.4355763547,+1.55588270E+00
56.1979999542,-1.64820000E-07,-4.72899200E-03,-46.5910541872,+1.55586190E+00
58.2779998779,-1.82180000E-07,-4.88485600E-03,-48.1266600985,+1.55584890E+00
60.3589999676,-1.79110000E-07,-5.60141300E-03,-55.1863349754,+1.55584630E+00
62.4399998188,-1.66020000E-07,-5.74213300E-03,-56.5727389163,+1.55580480E+00
64.521999836,-1.68690000E-07,-8.52036500E-03,-83.9444827586,+1.55580480E+00
66.6039998531,-1.69760000E-07,-1.00760180E-02,-99.2711133005,+1.55578140E+00
68.6679999828,-1.71900000E-07,-1.00761490E-02,-99.2724039409,+1.55577110E+00
70.7329998016,-1.94600000E-07,-1.00758870E-02,-99.2698226601,+1.55576330E+00
72.7969999313,-1.96470000E-07,-1.00758350E-02,-99.2693103448,+1.55575550E+00
74.8619999886,-1.90060000E-07,-1.00757560E-02,-99.2685320197,+1.55572950E+00
76.9259998798,-1.95010000E-07,-1.00759130E-02,-99.2700788177,+1.55572430E+00
78.9909999371,-1.84050000E-07,-1.00762010E-02,-99.2729162562,+1.55572430E+00
81.0549998283,-1.93000000E-07,-1.00763320E-02,-99.2742068966,+1.55569060E+00
83.118999958,-1.80450000E-07,-1.00761230E-02,-99.2721477833,+1.55567240E+00
85.1829998493,-1.82580000E-07,-1.00759650E-02,-99.270591133,+1.55567240E+00
87.2479999065,-1.81110000E-07,-1.00760180E-02,-99.2711133005,+1.55564520E+00
89.3120000362,-1.89260000E-07,-1.00759920E-02,-99.2708571429,+1.55562310E+00
