Time (s),Temp Probe Voltage (V)
58.8900001049,+1.04419480E+00
59.2490000725,+1.04400010E+00
59.6080000401,+1.04376530E+00
59.9670000076,+1.04352650E+00
60.3250000477,+1.04332400E+00
60.6849999428,+1.04311510E+00
61.0439999104,+1.04293080E+00
61.4029998779,+1.04273740E+00
61.7620000839,+1.04253240E+00
62.1210000515,+1.04234550E+00
62.4800000191,+1.04214040E+00
62.8389999866,+1.04195880E+00
63.1979999542,+1.04174720E+00
63.5569999218,+1.04154220E+00
63.9159998894,+1.04133450E+00
64.2750000954,+1.04110870E+00
64.6340000629,+1.04088940E+00
64.9930000305,+1.04061430E+00
65.3519999981,+1.04036900E+00
65.7109999657,+1.04012370E+00
66.0690000057,+1.03987580E+00
66.4279999733,+1.03967470E+00
66.7869999409,+1.03949820E+00
67.1459999084,+1.03928800E+00
67.504999876,+1.03905440E+00
67.864000082,+1.03884280E+00
68.2230000496,+1.03863650E+00
68.5820000172,+1.03844310E+00
68.9409999847,+1.03825750E+00
69.3020000458,+1.03800840E+00
69.6600000858,+1.03775660E+00
70.0190000534,+1.03751000E+00
70.378000021,+1.03727250E+00
70.736000061,+1.03704150E+00
71.0950000286,+1.03679100E+00
71.4539999962,+1.03663270E+00
71.8129999638,+1.03650030E+00
72.1730000973,+1.03634850E+00
72.5320000648,+1.03642120E+00
72.8910000324,+1.03620450E+00
73.25,+1.03599290E+00
73.6089999676,+1.03578530E+00
73.9670000076,+1.03559190E+00
74.3269999027,+1.03561140E+00
74.6849999428,+1.03581640E+00
75.0439999104,+1.03578790E+00
75.4040000439,+1.03556470E+00
75.7630000114,+1.03532460E+00
76.121999979,+1.03506500E+00
76.4809999466,+1.03479900E+00
76.8399999142,+1.03453940E+00
77.1989998817,+1.03430060E+00
77.5569999218,+1.03412670E+00
77.9159998894,+1.03398270E+00
78.2760000229,+1.03374390E+00
78.6349999905,+1.03347390E+00
78.993999958,+1.03317550E+00
79.3529999256,+1.03284450E+00
79.7119998932,+1.03234230E+00
