Time (s) , Counter , SQUID voltage (V) , Mod Coil Voltage (V) , Calculated Mod Coil Current (uA) , SQUID Loop Voltage (V) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , +1.39640390E-04 , -1.84853000E-03 , -18.2121182266 , -2.50132300E-03 , -24.6435763547 , +8.75480000E-05
2.51600003242 , 1 , +1.39639850E-04 , -1.84871600E-03 , -18.2139507389 , -2.50182000E-03 , -24.6484729064 , +8.76000000E-05
5.02199983597 , 2 , +1.39632910E-04 , -1.84902500E-03 , -18.2169950739 , -2.50184700E-03 , -24.6487389163 , +8.76000000E-05
7.52699995041 , 3 , +1.39627700E-04 , -1.84895100E-03 , -18.2162660099 , -2.50165000E-03 , -24.6467980296 , +8.75610000E-05
10.0329999924 , 4 , +1.39643190E-04 , -1.84910000E-03 , -18.2177339901 , -2.50189900E-03 , -24.6492512315 , +8.76000000E-05
12.5379998684 , 5 , +1.39629300E-04 , -1.84877800E-03 , -18.2145615764 , -2.50204300E-03 , -24.6506699507 , +8.76520000E-05
15.0449998379 , 6 , +1.39643190E-04 , -1.84865400E-03 , -18.2133399015 , -2.50174200E-03 , -24.6477044335 , +8.76650000E-05
17.5499999523 , 7 , +1.39636780E-04 , -1.84907500E-03 , -18.2174876847 , -2.50222600E-03 , -24.6524729064 , +8.71710000E-05
20.0549998283 , 8 , +1.39638650E-04 , -1.84890200E-03 , -18.2157832512 , -2.50170300E-03 , -24.647320197 , +8.75480000E-05
22.5599999428 , 9 , +1.39646670E-04 , -1.84881500E-03 , -18.2149261084 , -2.50151900E-03 , -24.6455073892 , +8.78990000E-05
25.0650000572 , 10 , +1.39640790E-04 , -1.84869100E-03 , -18.2137044335 , -2.50151900E-03 , -24.6455073892 , +8.75870000E-05
27.5709998608 , 11 , +1.39628770E-04 , -1.84906300E-03 , -18.2173694581 , -2.50179400E-03 , -24.6482167488 , +8.76390000E-05
30.0759999752 , 12 , +1.39641460E-04 , -1.84888900E-03 , -18.2156551724 , -2.50158500E-03 , -24.6461576355 , +8.77300000E-05
32.5820000172 , 13 , +1.39641720E-04 , -1.84892600E-03 , -18.2160197044 , -2.50189900E-03 , -24.6492512315 , +8.73790000E-05
35.0880000591 , 14 , +1.39648540E-04 , -1.84871600E-03 , -18.2139507389 , -2.50197700E-03 , -24.6500197044 , +8.76260000E-05
37.5929999352 , 15 , +1.39647070E-04 , -1.84913700E-03 , -18.2180985222 , -2.50168900E-03 , -24.647182266 , +8.79770000E-05
40.0980000496 , 16 , +1.39655210E-04 , -1.84886400E-03 , -18.215408867 , -2.50171600E-03 , -24.6474482759 , +8.78210000E-05
42.6039998531 , 17 , +1.39658290E-04 , -1.84891400E-03 , -18.2159014778 , -2.50158500E-03 , -24.6461576355 , +8.73530000E-05
45.1089999676 , 18 , +1.39657750E-04 , -1.84914900E-03 , -18.2182167488 , -2.50184700E-03 , -24.6487389163 , +8.77170000E-05
47.6150000095 , 19 , +1.39667900E-04 , -1.84874000E-03 , -18.2141871921 , -2.50176800E-03 , -24.6479605911 , +8.76910000E-05
50.121999979 , 20 , +1.39667640E-04 , -1.84862900E-03 , -18.2130935961 , -2.50182000E-03 , -24.6484729064 , +8.79250000E-05
52.6259999275 , 21 , +1.39674850E-04 , -1.84890200E-03 , -18.2157832512 , -2.50210800E-03 , -24.6513103448 , +8.77170000E-05
55.1319999695 , 22 , +1.39676320E-04 , -1.84895100E-03 , -18.2162660099 , -2.50226500E-03 , -24.6528571429 , +8.77430000E-05
57.6380000114 , 23 , +1.39682860E-04 , -1.84913700E-03 , -18.2180985222 , -2.50204300E-03 , -24.6506699507 , +8.74960000E-05
60.1429998875 , 24 , +1.39669370E-04 , -1.84839400E-03 , -18.2107783251 , -2.50214800E-03 , -24.6517044335 , +8.79250000E-05
62.6489999294 , 25 , +1.39695950E-04 , -1.84901300E-03 , -18.2168768473 , -2.50179400E-03 , -24.6482167488 , +8.74960000E-05
