Time (s),SQUID voltage (V),SQUID Loop Voltage (V),Calculated Squid Current (uA),Temp Probe Voltage (V)
131.053999901,+1.26848830E-04,-2.26559000E-03,-22.3210837438,+8.75870000E-05
133.120999813,+1.26834130E-04,-2.26576000E-03,-22.3227586207,+8.77430000E-05
135.188999891,+1.26843880E-04,-2.26540700E-03,-22.3192807882,+8.78470000E-05
137.254999876,+1.26852700E-04,-2.26536800E-03,-22.3188965517,+8.77690000E-05
139.321999788,+1.26850830E-04,-2.26547200E-03,-22.3199211823,+8.73790000E-05
141.389999866,+1.26850160E-04,-2.26542000E-03,-22.319408867,+8.77430000E-05
143.456999779,+1.26861520E-04,-2.26564300E-03,-22.3216059113,+8.79250000E-05
145.523999929,+1.26851100E-04,-2.26557700E-03,-22.320955665,+8.77430000E-05
147.592000008,+1.26854300E-04,-2.26539400E-03,-22.3191527094,+8.77950000E-05
149.659999847,+1.26856970E-04,-2.26513200E-03,-22.3165714286,+8.75090000E-05
151.726999998,+1.26862980E-04,-2.26535500E-03,-22.3187684729,+8.76260000E-05
153.79399991,+1.26867120E-04,-2.26552500E-03,-22.3204433498,+8.79120000E-05
155.859999895,+1.26854970E-04,-2.26544600E-03,-22.3196650246,+8.75610000E-05
157.927999973,+1.26864720E-04,-2.26604800E-03,-22.3255960591,+8.76650000E-05
159.994999886,+1.35565550E-04,-2.45078600E-03,-24.1456748768,+8.81720000E-05
162.061999798,+1.40691810E-04,-2.53841700E-03,-25.0090344828,+8.79120000E-05
164.128999949,+1.43292330E-04,-2.64627000E-03,-26.0716256158,+8.82890000E-05
166.197999954,+1.59466170E-04,-2.94849500E-03,-29.0492118227,+8.77170000E-05
168.264999866,+1.65960370E-04,-2.97685900E-03,-29.3286600985,+8.76910000E-05
170.331999779,+1.66237250E-04,-2.97967300E-03,-29.3563842365,+8.78210000E-05
172.399999857,+1.65880630E-04,-2.98107400E-03,-29.3701871921,+8.80550000E-05
174.467000008,+1.67930870E-04,-3.04230400E-03,-29.9734384236,+8.76910000E-05
176.53399992,+1.73480900E-04,-3.10039300E-03,-30.5457438424,+8.77300000E-05
178.600999832,+1.73592290E-04,-3.06568100E-03,-30.2037536946,+8.79770000E-05
