Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
39.2030000687,-1.69259900E-03,-16.7584059406
39.6449999809,-1.69294500E-03,-16.7618316832
40.0870001316,-1.69292100E-03,-16.7615940594
40.5290000439,-1.69302000E-03,-16.7625742574
40.9709999561,-1.69277200E-03,-16.7601188119
41.4130001068,-1.69272200E-03,-16.7596237624
41.856000185,-1.69272200E-03,-16.7596237624
42.2980000973,-1.69289600E-03,-16.7613465347
42.739000082,-1.69282200E-03,-16.7606138614
43.1809999943,-1.69284600E-03,-16.7608514851
43.623000145,-1.69313100E-03,-16.7636732673
44.0650000572,-1.69271000E-03,-16.7595049505
44.5069999695,-1.69284600E-03,-16.7608514851
44.9500000477,-1.69290800E-03,-16.7614653465
45.3910000324,-1.69287100E-03,-16.7610990099
45.8330001831,-1.69292100E-03,-16.7615940594
46.2750000954,-1.69295800E-03,-16.761960396
46.7170000076,-1.69256100E-03,-16.758029703
47.1590001583,-1.69276000E-03,-16.76
47.6010000706,-1.69278400E-03,-16.7602376238
48.0429999828,-1.69278400E-03,-16.7602376238
48.4850001335,-1.69295800E-03,-16.761960396
48.9270000458,-1.69280900E-03,-16.7604851485
49.368999958,-1.69279700E-03,-16.7603663366
49.8110001087,-1.69277200E-03,-16.7601188119
50.253000021,-1.69266100E-03,-16.759019802
50.6950001717,-1.69284600E-03,-16.7608514851
51.1370000839,-1.69262300E-03,-16.7586435644
51.5789999962,-1.69297000E-03,-16.7620792079
52.0210001469,-1.69285900E-03,-16.760980198
52.4630000591,-1.69309400E-03,-16.7633069307
52.9049999714,-1.69287100E-03,-16.7610990099
53.3470001221,-1.69272200E-03,-16.7596237624
53.7890000343,-1.69299500E-03,-16.7623267327
54.231000185,-1.69288400E-03,-16.7612277228
54.6730000973,-1.69310700E-03,-16.7634356436
55.1150000095,-1.69274700E-03,-16.7598712871
55.5570001602,-1.69306900E-03,-16.7630594059
55.9990000725,-1.69272200E-03,-16.7596237624
56.4409999847,-1.69280900E-03,-16.7604851485
56.8830001354,-1.69299500E-03,-16.7623267327
57.3250000477,-1.69295800E-03,-16.761960396
57.7669999599,-1.69308200E-03,-16.7631881188
58.2090001106,-1.69295800E-03,-16.761960396
58.6510000229,-1.69292100E-03,-16.7615940594
59.0930001736,-1.69285900E-03,-16.760980198
59.5350000858,-1.69279700E-03,-16.7603663366
59.978000164,-1.69278400E-03,-16.7602376238
60.4200000763,-1.69300700E-03,-16.7624455446
60.861000061,-1.69334200E-03,-16.7657623762
61.3029999733,-1.69303200E-03,-16.7626930693
61.745000124,-1.69305700E-03,-16.7629405941
62.1870000362,-1.69313100E-03,-16.7636732673
62.628000021,-1.69306900E-03,-16.7630594059
63.0700001717,-1.69300700E-03,-16.7624455446
63.5120000839,-1.69268500E-03,-16.7592574257
63.9539999962,-1.69325500E-03,-16.7649009901
64.3960001469,-1.69294500E-03,-16.7618316832
64.8380000591,-1.69304500E-03,-16.7628217822
65.2799999714,-1.69303200E-03,-16.7626930693
65.7220001221,-1.69324300E-03,-16.7647821782
66.1630001068,-1.69308200E-03,-16.7631881188
66.6050000191,-1.69300700E-03,-16.7624455446
67.0470001698,-1.69289600E-03,-16.7613465347
67.489000082,-1.69297000E-03,-16.7620792079
67.9320001602,-1.69310700E-03,-16.7634356436
68.373000145,-1.69302000E-03,-16.7625742574
68.8150000572,-1.69306900E-03,-16.7630594059
69.2569999695,-1.69304500E-03,-16.7628217822
69.6979999542,-1.69303200E-03,-16.7626930693
70.1400001049,-1.69302000E-03,-16.7625742574
70.5820000172,-1.69304500E-03,-16.7628217822
71.0240001678,-1.69285900E-03,-16.760980198
71.4670000076,-1.69302000E-03,-16.7625742574
71.9090001583,-1.69304500E-03,-16.7628217822
72.3510000706,-1.69314400E-03,-16.7638019802
72.7929999828,-1.69263600E-03,-16.7587722772
73.2350001335,-1.69315600E-03,-16.7639207921
73.6760001183,-1.69293300E-03,-16.7617128713
74.1180000305,-1.69308200E-03,-16.7631881188
74.5600001812,-1.69306900E-03,-16.7630594059
75.0010001659,-1.69303200E-03,-16.7626930693
75.4440000057,-1.69302000E-03,-16.7625742574
75.8849999905,-1.69314400E-03,-16.7638019802
76.3270001411,-1.69298300E-03,-16.7622079208
76.7690000534,-1.69311900E-03,-16.7635544554
77.2109999657,-1.69313100E-03,-16.7636732673
77.6530001163,-1.69305700E-03,-16.7629405941
78.0950000286,-1.69290800E-03,-16.7614653465
78.5360000134,-1.69308200E-03,-16.7631881188
78.978000164,-1.69313100E-03,-16.7636732673
79.4200000763,-1.69299500E-03,-16.7623267327
79.8619999886,-1.69283400E-03,-16.7607326733
80.3029999733,-1.69279700E-03,-16.7603663366
80.745000124,-1.69321800E-03,-16.7645346535
81.1870000362,-1.69290800E-03,-16.7614653465
81.628000021,-1.69292100E-03,-16.7615940594
82.0700001717,-1.69304500E-03,-16.7628217822
82.5120000839,-1.69280900E-03,-16.7604851485
82.9539999962,-1.69306900E-03,-16.7630594059
83.3960001469,-1.69293300E-03,-16.7617128713
83.8380000591,-1.69310700E-03,-16.7634356436
84.2799999714,-1.69316800E-03,-16.764039604
84.7220001221,-1.69325500E-03,-16.7649009901
85.1640000343,-1.69293300E-03,-16.7617128713
85.606000185,-1.69295800E-03,-16.761960396
86.0480000973,-1.69333000E-03,-16.7656435644
86.4900000095,-1.69336700E-03,-16.766009901
86.9320001602,-1.69289600E-03,-16.7613465347
87.3740000725,-1.69304500E-03,-16.7628217822
87.8170001507,-1.69293300E-03,-16.7617128713
88.2580001354,-1.69305700E-03,-16.7629405941
88.7009999752,-1.69285900E-03,-16.760980198
89.1430001259,-1.69303200E-03,-16.7626930693
89.5850000381,-1.69302000E-03,-16.7625742574
90.0260000229,-1.69311900E-03,-16.7635544554
90.4680001736,-1.69314400E-03,-16.7638019802
90.9110000134,-1.69315600E-03,-16.7639207921
91.353000164,-1.69319300E-03,-16.7642871287
91.7940001488,-1.69326800E-03,-16.765029703
92.236000061,-1.69283400E-03,-16.7607326733
92.6779999733,-1.69315600E-03,-16.7639207921
93.118999958,-1.69300700E-03,-16.7624455446
93.5610001087,-1.69311900E-03,-16.7635544554
94.003000021,-1.69288400E-03,-16.7612277228
94.4450001717,-1.69293300E-03,-16.7617128713
94.8870000839,-1.69292100E-03,-16.7615940594
95.3289999962,-1.69305700E-03,-16.7629405941
95.7710001469,-1.69306900E-03,-16.7630594059
96.2130000591,-1.69284600E-03,-16.7608514851
96.6549999714,-1.69288400E-03,-16.7612277228
97.0970001221,-1.69289600E-03,-16.7613465347
97.5390000343,-1.69308200E-03,-16.7631881188
97.9800000191,-1.69246200E-03,-16.757049505
98.4230000973,-1.69284600E-03,-16.7608514851
98.8650000095,-1.69298300E-03,-16.7622079208
99.3070001602,-1.69279700E-03,-16.7603663366
99.7490000725,-1.69305700E-03,-16.7629405941
100.190999985,-1.69323000E-03,-16.7646534653
100.633000135,-1.69304500E-03,-16.7628217822
101.07400012,-1.69261100E-03,-16.7585247525
101.516000032,-1.69280900E-03,-16.7604851485
101.958000183,-1.69285900E-03,-16.760980198
102.400000095,-1.69300700E-03,-16.7624455446
102.842000008,-1.69295800E-03,-16.761960396
103.284000158,-1.69306900E-03,-16.7630594059
103.726000071,-1.69319300E-03,-16.7642871287
104.167999983,-1.69304500E-03,-16.7628217822
104.610000134,-1.69306900E-03,-16.7630594059
105.052000046,-1.69337900E-03,-16.7661287129
105.493999958,-9.45834000E-04,-9.36469306931
105.936000109,+3.35000000E-07,0.00331683168317
106.379000187,+2.85000000E-07,0.00282178217822
106.821000099,+7.40000000E-08,0.000732673267327
107.263000011,+2.97000000E-07,0.00294059405941
