Time (s) , Counter , SQUID voltage (V) , Calculated Mod Coil Current (uA) , Calculated Squid Current (uA) , Temp Probe Voltage (V) 
0.0 , 0 , -5.88435000E-06 , -18.2824236453 , -29.4855960591 , +1.09835000E-04
3.75 , 1 , -5.84601000E-06 , -18.2833990148 , -29.4885615764 , +1.09666000E-04
7.47600007057 , 2 , -5.88328000E-06 , -18.2823054187 , -29.487408867 , +1.09328000E-04
11.2009999752 , 3 , -5.83946000E-06 , -19.800137931 , -29.4897241379 , +1.10017000E-04
14.9260001183 , 4 , -5.78765000E-06 , -19.8062463054 , -29.4881773399 , +1.10004000E-04
18.6510000229 , 5 , -5.72849000E-06 , -19.8164926108 , -29.4875369458 , +1.09874000E-04
22.3770000935 , 6 , -5.67411000E-06 , -21.4388374384 , -29.4884334975 , +1.10004000E-04
26.1019999981 , 7 , -5.70858000E-06 , -21.3759802956 , -29.4861182266 , +1.10108000E-04
29.8270001411 , 8 , -5.57274000E-06 , -24.1195566502 , -29.4868866995 , +1.10056000E-04
33.5520000458 , 9 , -5.51971000E-06 , -24.0584039409 , -29.4850837438 , +1.09770000E-04
37.2770001888 , 10 , -5.42715000E-06 , -26.0707192118 , -29.4884334975 , +1.09549000E-04
41.003000021 , 11 , -5.49767000E-06 , -26.1618916256 , -29.491270936 , +1.10160000E-04
44.728000164 , 12 , -5.49074000E-06 , -26.1308866995 , -29.487408867 , +1.10056000E-04
48.4530000687 , 13 , -5.33273000E-06 , -28.773408867 , -29.491270936 , +1.09939000E-04
52.1780002117 , 14 , -5.33206000E-06 , -28.7770640394 , -29.4866305419 , +1.09952000E-04
55.9040000439 , 15 , -5.41541000E-06 , -28.7814581281 , -29.4879211823 , +1.09848000E-04
59.6290001869 , 16 , -5.47244000E-06 , -28.7828078818 , -29.4892118227 , +1.10082000E-04
63.3540000916 , 17 , -5.39698000E-06 , -31.1328571429 , -29.4840492611 , +1.10160000E-04
67.0789999962 , 18 , -5.32070000E-06 , -31.4547389163 , -29.4901083744 , +1.09614000E-04
70.8040001392 , 19 , -5.34875000E-06 , -31.4604729064 , -29.4879211823 , +1.09926000E-04
74.5290000439 , 20 , -5.42182000E-06 , -31.466817734 , -29.4845714286 , +1.10381000E-04
78.2550001144 , 21 , -5.37761000E-06 , -31.3933399015 , -29.4883054187 , +1.09848000E-04
81.9800000191 , 22 , -5.17645000E-06 , -36.2022068966 , -29.4917931034 , +1.10043000E-04
85.7050001621 , 23 , -5.16498000E-06 , -36.1990344828 , -29.4853399015 , +1.09900000E-04
89.4309999943 , 24 , -5.25526000E-06 , -36.1960985222 , -29.4881773399 , +1.10420000E-04
93.1570000648 , 25 , -5.26420000E-06 , -36.1820591133 , -29.4863743842 , +1.10420000E-04
96.8820002079 , 26 , -5.09752000E-06 , -40.1650640394 , -29.4879211823 , +1.09900000E-04
100.607000113 , 27 , -5.08242000E-06 , -40.1371034483 , -29.4836650246 , +1.10238000E-04
104.332000017 , 28 , -5.10513000E-06 , -40.1349064039 , -29.4866305419 , +1.10134000E-04
108.058000088 , 29 , -5.18220000E-06 , -42.1009655172 , -29.487408867 , +1.10290000E-04
111.782000065 , 30 , -5.06426000E-06 , -44.4850738916 , -29.4868866995 , +1.10186000E-04
115.508000135 , 31 , -5.07708000E-06 , -44.4386896552 , -29.4859901478 , +1.10264000E-04
