Counter,Time(s),Temperature Voltage(V)Magnet Current(A),Field Coil Current(mA),SQUID Voltage(uV),Mod Coil Currnet(uA),Pickup Loop Current(uA),
0,0.00300002098083,,,,-2.06521550E-02,0.00887097480832,
0,1.3220000267,,,,-6.21502830E-03,0.00884786418401,
0,2.48099994659,,,,-6.34726210E-03,0.00884786418401,
0,3.39499998093,,,,+1.79367380E-03,1.61582486309,
0,4.28299999237,,,,+1.26296120E-02,1.61576276013,
0,5.14400005341,,,,-1.18872140E-02,1.61580175246,
0,6.10500001907,,,,+1.47489370E-02,3.22782957284,
0,6.96099996567,,,,-1.17079670E-02,3.22810142388,
0,7.91899991035,,,,+1.46322160E-02,3.22830668127,
0,8.78299999237,,,,-2.06949010E-02,4.80612201533,
0,9.73600006104,,,,+1.17037000E-02,4.80804216867,
0,10.646999836,,,,-2.14748360E-02,4.80886210296,
0,11.5599999428,,,,+1.51237720E-02,6.39438236583,
0,12.4649999142,,,,+1.12140560E-02,6.39505038335,
0,13.3259999752,,,,+1.74065770E-02,6.39559846659,
0,14.2379999161,,,,-1.69597560E-02,7.98549167579,
0,15.1919999123,,,,-2.10575050E-02,7.98603975904,
0,16.1800000668,,,,-1.92328170E-02,7.98677141292,
0,17.4210000038,,,,-2.14748360E-02,9.68117075575,
0,18.376999855,,,,+1.87110190E-02,9.68162048193,
0,19.2349998951,,,,-2.14748360E-02,9.68202387733,
0,20.1940000057,,,,+5.68346600E-03,11.2767787514,
0,21.0999999046,,,,+1.29504110E-02,11.2770153341,
0,21.9639999866,,,,+1.36110930E-03,11.2772902519,
0,22.9240000248,,,,+1.23364360E-02,12.8787250821,
0,23.757999897,,,,-5.64952920E-03,12.8789277108,
0,24.7159998417,,,,+1.74115780E-02,12.8790142388,
0,25.5799999237,,,,-1.43851780E-02,14.4740700986,
0,26.5329999924,,,,+1.31829370E-02,14.4747502738,
0,27.3940000534,,,,-1.96390370E-02,14.4750394304,
0,28.3559999466,,,,+1.00088260E-02,16.1006056955,
0,29.2130000591,,,,-2.14748360E-02,16.1011544359,
0,30.1699998379,,,,+1.15745420E-02,16.1015454545,
0,31.0829999447,,,,+1.31392250E-02,17.5550109529,
0,31.9400000572,,,,+1.86297800E-02,17.5636473165,
0,32.8489999771,,,,-2.14748360E-02,17.5684348302,
0,33.8099999428,,,,+5.74326760E-03,19.1653844469,
0,34.7149999142,,,,-1.66363550E-02,19.1681325301,
