Counter,Time(s),Magnet Current(A)
0,0.0609998703003,2.0
1,0.191999912262,2.001
2,0.31299996376,2.0
3,0.433000087738,2.0
4,0.552999973297,2.0
5,0.660000085831,2.0
6,0.779000043869,2.0
7,0.898000001907,2.0
8,1.00600004196,2.0
9,1.12700009346,2.0
10,1.24699997902,1.999
11,1.35400009155,2.0
12,1.47199988365,2.0
13,1.59200000763,2.0
14,1.69899988174,2.0
15,1.81900000572,2.0
16,1.93899989128,2.0
17,2.04600000381,2.0
18,2.16499996185,2.0
19,2.28500008583,2.0
20,2.43700003624,2.001
21,2.5569999218,2.001
22,2.66400003433,2.0
23,2.78399991989,1.999
24,2.90299987793,2.001
25,3.00999999046,2.0
26,3.12999987602,2.0
27,3.25,2.0
28,3.35699987411,2.0
29,3.47699999809,2.0
30,3.59699988365,1.999
31,3.70399999619,2.0
32,3.82299995422,2.001
33,3.9430000782,2.0
34,4.08999991417,1.999
35,4.1970000267,2.0
36,4.31699991226,2.0
37,4.43700003624,2.001
38,4.54399991035,2.0
39,4.66400003433,1.999
40,4.78399991989,1.999
41,4.89100003242,2.0
42,5.01099991798,2.0
43,5.13100004196,1.998
44,5.23799991608,1.999
45,5.37999987602,1.999
46,5.48799991608,2.0
47,5.60500001907,2.0
48,5.72499990463,1.999
49,5.83299994469,1.999
50,5.95199990273,2.0
51,6.0720000267,2.001
52,6.19499993324,1.999
53,6.30200004578,2.0
54,6.42199993134,2.001
55,6.54200005531,2.001
56,6.64899992943,2.001
57,6.76900005341,2.0
58,6.88899993896,2.001
59,6.9960000515,1.998
60,7.11500000954,1.998
61,7.2349998951,2.001
62,7.34200000763,2.0
63,7.48199987411,1.999
64,7.58899998665,1.999
65,7.70899987221,2.0
66,7.82899999619,1.999
67,7.93700003624,2.0
68,8.05500006676,1.999
69,8.17499995232,2.0
70,8.2990000248,1.999
71,8.40599989891,2.0
72,8.52500009537,2.0
73,8.64499998093,1.999
74,8.75300002098,2.0
75,8.87199997902,2.001
76,8.992000103,2.0
77,9.11599993706,2.0
78,9.22300004959,2.0
79,9.34200000763,2.0
80,9.46199989319,1.999
81,9.56999993324,2.0
82,9.68899989128,2.0
83,9.80900001526,2.001
84,9.91599988937,2.0
85,10.0350000858,1.999
86,10.1549999714,2.0
87,10.2620000839,1.999
88,10.3880000114,1.999
89,10.504999876,1.999
90,10.625,1.999
91,10.7319998741,2.0
92,10.8519999981,1.999
93,10.9719998837,2.0
94,11.0799999237,2.0
95,11.2000000477,2.0
96,11.3199999332,2.0
97,11.4270000458,2.001
98,11.5460000038,2.0
99,11.6659998894,1.999
100,11.7739999294,2.0
101,11.8919999599,2.0
102,12.0379998684,2.0
103,12.1449999809,1.999
104,12.263999939,2.0
105,12.3840000629,2.0
106,12.4909999371,2.0
107,12.6099998951,2.0
108,12.7300000191,1.999
109,12.8369998932,2.0
110,12.9570000172,2.0
111,13.0769999027,1.999
112,13.1840000153,1.999
113,13.3029999733,1.999
114,13.4230000973,2.001
115,13.5299999714,1.999
116,13.6500000954,1.999
117,13.7699999809,2.0
118,13.8770000935,2.0
119,13.9960000515,1.999
120,14.1400001049,1.999
121,14.246999979,1.998
122,14.367000103,1.999
123,14.4869999886,2.0
124,14.5940001011,1.999
125,14.7149999142,2.0
126,14.8350000381,1.999
127,14.9430000782,2.001
128,15.0599999428,2.001
129,15.1800000668,2.0
130,15.2869999409,2.001
131,15.4289999008,2.0
132,15.5360000134,2.0
133,15.6529998779,2.0
