Time (s),Temp Probe Voltage (V)
0.0,+1.53563100E-03
0.447000026703,+1.61217900E-03
0.884999990463,+1.68554000E-03
1.32299995422,+5.65664590E-01
1.72399997711,+5.66235850E-01
2.12300014496,+5.66237540E-01
2.52300000191,+5.66239620E-01
2.92300009727,+5.66239490E-01
3.3220000267,+5.66239620E-01
3.72200012207,+5.66240140E-01
4.12199997902,+5.66241180E-01
4.52099990845,+5.66242350E-01
4.92100000381,+5.66245340E-01
5.32100009918,+5.66248710E-01
5.72000002861,+5.66250010E-01
6.12000012398,+5.66250530E-01
6.51999998093,+5.66250790E-01
6.91899991035,+5.66251050E-01
7.31999993324,+5.66251570E-01
7.72000002861,+5.66251830E-01
8.11899995804,+5.66251050E-01
8.51999998093,+5.66252870E-01
8.92000007629,+5.66254690E-01
9.31999993324,+5.66255990E-01
9.71900010109,+5.66253650E-01
10.118999958,+5.66253910E-01
10.5190000534,+5.66253130E-01
10.9189999104,+5.66255470E-01
11.3180000782,+5.66255990E-01
11.7179999352,+5.66255210E-01
12.1180000305,+5.66254950E-01
12.5169999599,+5.66253780E-01
12.9170000553,+5.66253130E-01
13.3169999123,+5.66257940E-01
13.7160000801,+5.66256250E-01
14.1159999371,+5.66256900E-01
14.5160000324,+5.66254950E-01
14.9160001278,+5.66256380E-01
15.3159999847,+5.66256770E-01
15.7160000801,+5.66259240E-01
16.1159999371,+5.66261840E-01
16.5150001049,+5.66263650E-01
16.9160001278,+5.66267290E-01
17.3150000572,+5.66270150E-01
17.7149999142,+5.66270540E-01
18.114000082,+5.66268720E-01
18.513999939,+5.66267940E-01
18.9130001068,+5.66267420E-01
19.3129999638,+5.66266640E-01
19.7120001316,+5.66265860E-01
20.1119999886,+5.66265080E-01
20.510999918,+5.66261710E-01
20.9110000134,+5.66258980E-01
21.3099999428,+5.66257160E-01
21.7090001106,+5.66255600E-01
22.1089999676,+5.66254950E-01
22.5080001354,+5.66257550E-01
22.9079999924,+5.66258330E-01
23.3080000877,+5.66257030E-01
23.7060000896,+5.66256120E-01
24.1059999466,+5.66254690E-01
24.5050001144,+5.66253000E-01
24.9049999714,+5.66253390E-01
25.3040001392,+5.66252610E-01
25.7039999962,+5.66253910E-01
26.1040000916,+5.66251830E-01
26.503000021,+5.66253650E-01
26.9019999504,+5.66253780E-01
27.3020000458,+5.66255470E-01
27.7009999752,+5.66255340E-01
28.1010000706,+5.66256510E-01
28.5009999275,+5.66258330E-01
28.9000000954,+5.66259760E-01
29.2990000248,+5.66258070E-01
29.6990001202,+5.66258460E-01
30.0989999771,+5.66257290E-01
30.4990000725,+5.66257680E-01
30.8989999294,+5.66256510E-01
31.2990000248,+5.66257940E-01
31.6990001202,+5.66257030E-01
32.0980000496,+5.66257160E-01
32.498000145,+5.66256380E-01
32.8980000019,+5.66256510E-01
33.2980000973,+5.66255210E-01
33.6979999542,+5.66255990E-01
34.0970001221,+5.66255340E-01
34.498000145,+5.66255600E-01
34.8970000744,+5.66255210E-01
35.2969999313,+5.66254430E-01
35.6960000992,+5.66253000E-01
36.0959999561,+5.66253650E-01
36.496999979,+5.66248580E-01
36.8970000744,+5.66253780E-01
37.2969999313,+5.66254560E-01
37.6960000992,+5.66253910E-01
38.0959999561,+5.66253780E-01
38.495000124,+5.66254560E-01
38.8949999809,+5.66254560E-01
39.2939999104,+5.66255210E-01
39.6940000057,+5.66257810E-01
40.0940001011,+5.66258590E-01
40.493999958,+5.66260020E-01
40.8930001259,+5.66263650E-01
41.2920000553,+5.66264950E-01
41.6919999123,+5.66264950E-01
42.0920000076,+5.66266380E-01
42.4909999371,+5.66265730E-01
42.8910000324,+5.66266510E-01
43.2899999619,+5.66265210E-01
43.6900000572,+5.66266900E-01
44.0899999142,+5.66268850E-01
44.4900000095,+5.66274440E-01
44.888999939,+5.66275740E-01
45.2899999619,+5.66279890E-01
45.6900000572,+5.66279500E-01
46.0899999142,+5.66280800E-01
46.489000082,+5.66281970E-01
46.888999939,+5.66285480E-01
47.2890000343,+5.66288080E-01
47.6879999638,+5.66290940E-01
48.0880000591,+5.66292500E-01
48.4869999886,+5.66292500E-01
48.8870000839,+5.66292630E-01
49.2860000134,+5.66293020E-01
49.6870000362,+5.66292760E-01
50.0859999657,+5.66295350E-01
50.486000061,+5.66296520E-01
50.885999918,+5.66295870E-01
51.2850000858,+5.66295870E-01
51.6849999428,+5.66296130E-01
52.0850000381,+5.66296650E-01
52.4850001335,+5.66296390E-01
52.8840000629,+5.66296650E-01
53.2839999199,+5.66300160E-01
53.6840000153,+5.66305620E-01
54.0829999447,+5.66312240E-01
54.4820001125,+5.66314840E-01
54.8819999695,+5.66316140E-01
55.2820000648,+5.66316660E-01
55.6819999218,+5.66316140E-01
56.0810000896,+5.66315490E-01
56.4809999466,+5.66315230E-01
56.8800001144,+5.66316270E-01
57.2799999714,+5.66316010E-01
57.6800000668,+5.66315620E-01
58.0789999962,+5.66314840E-01
58.4790000916,+5.66314710E-01
58.8789999485,+5.66313020E-01
59.2790000439,+5.66314320E-01
59.6779999733,+5.66315490E-01
60.0780000687,+5.66317830E-01
60.4779999256,+5.66317700E-01
60.878000021,+5.66320300E-01
61.2780001163,+5.66320040E-01
61.6779999733,+5.66321860E-01
62.0780000687,+5.66321470E-01
62.4769999981,+5.66321600E-01
62.8770000935,+5.66321470E-01
63.2780001163,+5.66321080E-01
63.6770000458,+5.66323680E-01
64.0770001411,+5.66324840E-01
64.4769999981,+5.66326660E-01
64.8770000935,+5.66328870E-01
65.2769999504,+5.66331340E-01
65.6770000458,+5.66332640E-01
66.0770001411,+5.66333420E-01
66.4769999981,+5.66335760E-01
66.8759999275,+5.66338100E-01
67.2760000229,+5.66342640E-01
67.6749999523,+5.66346930E-01
68.0740001202,+5.66349530E-01
68.4739999771,+5.66351220E-01
68.873000145,+5.66352390E-01
69.2750000954,+5.66355370E-01
69.6740000248,+5.66356800E-01
70.0750000477,+5.66358750E-01
70.4750001431,+5.66359270E-01
70.875,+5.66360830E-01
71.2750000954,+5.66361220E-01
71.6749999523,+5.66364470E-01
72.0750000477,+5.66365250E-01
72.4750001431,+5.66367850E-01
72.873000145,+5.66370310E-01
73.2730000019,+5.66373040E-01
73.6730000973,+5.66375250E-01
74.0720000267,+5.66378500E-01
74.4720001221,+5.66378890E-01
74.871999979,+5.66383440E-01
75.2720000744,+5.66383960E-01
75.6710000038,+5.66388110E-01
76.0710000992,+5.66392010E-01
76.4709999561,+5.66396430E-01
76.8710000515,+5.66400840E-01
77.2709999084,+5.66405650E-01
77.6710000038,+5.66405910E-01
78.0699999332,+5.66407990E-01
78.4690001011,+5.66409680E-01
78.868999958,+5.66410070E-01
79.2690000534,+5.66411890E-01
79.6679999828,+5.66411500E-01
80.0690000057,+5.66411890E-01
80.4679999352,+5.66411890E-01
80.8680000305,+5.66411110E-01
81.2680001259,+5.66410330E-01
81.6670000553,+5.66408640E-01
82.0669999123,+5.66408250E-01
82.4670000076,+5.66404870E-01
82.867000103,+5.66404740E-01
83.2660000324,+5.66404870E-01
83.6660001278,+5.66405390E-01
84.0659999847,+5.66405000E-01
84.4660000801,+5.66404610E-01
84.8659999371,+5.66404090E-01
85.2660000324,+5.66402010E-01
85.6649999619,+5.66401100E-01
86.0650000572,+5.66400970E-01
86.4649999142,+5.66406170E-01
86.8659999371,+5.66410590E-01
87.2650001049,+5.66415660E-01
87.6649999619,+5.66420460E-01
88.0640001297,+5.66426180E-01
88.4649999142,+5.66427610E-01
88.8650000095,+5.66426050E-01
89.263999939,+5.66425660E-01
89.6640000343,+5.66425530E-01
90.0640001297,+5.66424750E-01
90.4630000591,+5.66425140E-01
90.8629999161,+5.66428520E-01
91.2620000839,+5.66431760E-01
91.6619999409,+5.66431120E-01
92.0610001087,+5.66430340E-01
92.4609999657,+5.66428000E-01
92.861000061,+5.66426050E-01
93.2599999905,+5.66425660E-01
93.6610000134,+5.66423580E-01
94.0599999428,+5.66422800E-01
94.4600000381,+5.66423710E-01
94.8600001335,+5.66424100E-01
95.2590000629,+5.66423580E-01
95.6600000858,+5.66425270E-01
96.0590000153,+5.66425140E-01
96.4590001106,+5.66422670E-01
96.8589999676,+5.66421760E-01
97.2580001354,+5.66419940E-01
97.6579999924,+5.66418380E-01
98.0569999218,+5.66415790E-01
98.4570000172,+5.66413970E-01
98.8559999466,+5.66412020E-01
99.2550001144,+5.66411110E-01
99.6549999714,+5.66409810E-01
100.055000067,+5.66409810E-01
100.453999996,+5.66409680E-01
100.854000092,+5.66408900E-01
