Counter,Time(s),Magnet Current(A)
246,29.5379998684,1.166
247,29.6589999199,1.17
248,29.7809998989,1.174
249,29.9019999504,1.18
250,30.0090000629,1.185
251,30.1289999485,1.19
252,30.25,1.194
253,30.371999979,1.2
254,30.4790000916,1.206
255,30.6480000019,1.21
256,30.7690000534,1.216
