Time (s),Temp Probe Voltage (V)
0.0,-3.64100000E-06
0.43799996376,-3.58900000E-06
0.875,-3.75800000E-06
1.31299996376,-3.82300000E-06
1.75199985504,-4.01800000E-06
2.19000005722,-4.22600000E-06
2.62800002098,-4.22600000E-06
3.06599998474,-4.46000000E-06
3.5039999485,-4.59000000E-06
3.94199991226,-4.38200000E-06
4.37999987602,-4.53800000E-06
4.81799983978,-4.86300000E-06
5.25600004196,-4.95400000E-06
5.69499993324,-4.82400000E-06
6.132999897,-5.05800000E-06
6.57099986076,-4.72000000E-06
7.007999897,-5.16200000E-06
7.44599986076,-5.42200000E-06
7.88400006294,-5.50000000E-06
8.3220000267,-5.35700000E-06
8.76099991798,-5.52600000E-06
9.19799995422,-5.59100000E-06
9.63599991798,-5.68200000E-06
10.0739998817,-5.86400000E-06
10.510999918,-6.18900000E-06
10.9489998817,-5.94200000E-06
11.3869998455,-5.94200000E-06
11.8250000477,-6.22800000E-06
12.2630000114,-6.25400000E-06
12.7019999027,-6.59200000E-06
13.1399998665,-6.67000000E-06
13.5780000687,-6.69600000E-06
14.0160000324,-6.72200000E-06
14.4539999962,-6.74800000E-06
14.8919999599,-6.82600000E-06
15.3289999962,-6.81300000E-06
15.7669999599,-7.38600000E-06
16.2049999237,-7.13900000E-06
16.6440000534,-7.32100000E-06
17.0820000172,-7.29500000E-06
17.5199999809,-7.16500000E-06
17.9579999447,-7.51600000E-06
18.396999836,-7.67200000E-06
18.8359999657,-8.11400000E-06
19.2739999294,-7.52900000E-06
19.7119998932,-7.78900000E-06
20.1499998569,-7.62000000E-06
20.5889999866,-7.93200000E-06
21.0269999504,-8.28300000E-06
21.4649999142,-7.95800000E-06
21.9029998779,-8.30900000E-06
22.3409998417,-8.29600000E-06
22.7790000439,-8.51700000E-06
23.2170000076,-8.59500000E-06
23.6549999714,-8.11400000E-06
24.0939998627,-8.51700000E-06
24.5320000648,-8.76400000E-06
24.9700000286,-8.90700000E-06
25.4079999924,-8.67300000E-06
25.8469998837,-8.73800000E-06
26.2860000134,-9.12800000E-06
26.7239999771,-8.97200000E-06
27.1619999409,-2.82916700E-03
27.6009998322,-9.33600000E-06
28.0399999619,-9.45300000E-06
28.4779999256,-9.51800000E-06
28.9159998894,-9.51800000E-06
29.3539998531,-9.32300000E-06
29.7920000553,-9.68700000E-06
30.2300000191,-9.51800000E-06
30.6689999104,-9.44000000E-06
31.1069998741,-9.96000000E-06
31.5449998379,-1.00120000E-05
31.9839999676,-9.96000000E-06
32.4219999313,-1.02980000E-05
32.8599998951,-1.02200000E-05
33.2979998589,-9.98600000E-06
33.736000061,-1.03240000E-05
34.1749999523,-9.99900000E-06
34.6129999161,-1.05580000E-05
35.0509998798,-1.06360000E-05
35.4889998436,-1.05320000E-05
35.9270000458,-1.07920000E-05
36.3650000095,-1.03500000E-05
36.8029999733,-1.09480000E-05
37.2409999371,-1.07400000E-05
37.6779999733,-1.11300000E-05
38.1169998646,-1.10260000E-05
38.5539999008,-1.11430000E-05
38.9930000305,-1.09740000E-05
39.4300000668,-1.12340000E-05
39.8680000305,-1.13380000E-05
40.3059999943,-1.12340000E-05
40.743999958,-1.17550000E-05
41.1809999943,-1.17030000E-05
41.6180000305,-1.13640000E-05
42.0559999943,-1.18070000E-05
42.493999958,-1.15460000E-05
42.9319999218,-1.19890000E-05
43.3699998856,-1.18070000E-05
43.8090000153,-1.20800000E-05
44.246999979,-1.19760000E-05
44.6849999428,-1.23010000E-05
45.1229999065,-1.23920000E-05
45.5599999428,-1.25610000E-05
45.9989998341,-1.20670000E-05
46.4370000362,-1.25090000E-05
46.875,-1.24440000E-05
47.3129999638,-1.26910000E-05
47.7509999275,-1.28210000E-05
48.1889998913,-1.27170000E-05
48.626999855,-1.26260000E-05
49.0650000572,-1.32630000E-05
49.503000021,-1.25090000E-05
49.9419999123,-1.30160000E-05
50.379999876,-1.26910000E-05
50.8190000057,-1.29510000E-05
51.256000042,-1.34970000E-05
51.6940000057,-1.31850000E-05
