,SQUID_Volt(V),Temp(V),FC_CURR(A),MAG_CURR(A),timestamp,MOD_CURR(A),SQUID_Curr(A)
0,,,,0.0,1559375717.981,,
1,,,,0.0,1559375718.113,,
2,,,,0.003,1559375718.232,,
3,,,,0.012,1559375718.353,,
4,,,,0.031,1559375718.474,,
5,,,,0.063,1559375718.581,,
6,,,,0.1,1559375718.702,,
7,,,,0.134,1559375718.823,,
8,,,,0.177,1559375718.944,,
9,,,,0.221,1559375719.051,,
10,,,,0.261,1559375719.172,,
11,,,,0.295,1559375719.293,,
12,,,,0.344,1559375719.419,,
13,,,,0.375,1559375719.54,,
14,,,,0.412,1559375719.646,,
15,,,,0.448,1559375719.766,,
16,,,,0.478,1559375719.888,,
17,,,,0.515,1559375720.009,,
18,,,,0.552,1559375720.116,,
19,,,,0.588,1559375720.236,,
20,,,,0.619,1559375720.357,,
21,,,,0.656,1559375720.464,,
22,,,,0.693,1559375720.583,,
23,,,,0.722,1559375720.704,,
24,,,,0.759,1559375720.825,,
25,,,,0.797,1559375720.932,,
26,,,,0.833,1559375721.053,,
27,,,,0.871,1559375721.2,,
28,,,,0.908,1559375721.32,,
29,,,,0.945,1559375721.428,,
30,,,,0.982,1559375721.548,,
31,,,,1.012,1559375721.669,,
32,,,,1.048,1559375721.776,,
33,,,,1.086,1559375721.894,,
34,,,,1.116,1559375722.015,,
35,,,,1.153,1559375722.122,,
36,,,,1.189,1559375722.241,,
37,,,,1.22,1559375722.362,,
38,,,,1.257,1559375722.487,,
39,,,,1.294,1559375722.609,,
40,,,,1.331,1559375722.715,,
41,,,,1.368,1559375722.835,,
42,,,,1.398,1559375722.956,,
43,,,,1.435,1559375723.063,,
44,,,,1.471,1559375723.18,,
45,,,,1.5,1559375723.324,,
46,,,,1.499,1559375725.533,,
47,,,,1.5,1559375725.654,,
48,,,,1.499,1559375725.778,,
49,,,,1.493,1559375725.855,,
50,,,,1.48,1559375725.955,,
51,,,,1.462,1559375726.054,,
52,,,,1.437,1559375726.153,,
53,,,,1.407,1559375726.251,,
54,,,,1.374,1559375726.351,,
55,,,,1.339,1559375726.45,,
56,,,,1.305,1559375726.549,,
57,,,,1.262,1559375726.672,,
58,,,,1.237,1559375726.747,,
59,,,,1.204,1559375726.847,,
60,,,,1.172,1559375726.948,,
61,,,,1.141,1559375727.048,,
62,,,,1.111,1559375727.163,,
63,,,,1.081,1559375727.263,,
64,,,,1.052,1559375727.364,,
65,,,,1.014,1559375727.465,,
66,,,,0.985,1559375727.568,,
67,,,,0.956,1559375727.663,,
68,,,,0.926,1559375727.761,,
69,,,,0.897,1559375727.861,,
70,,,,0.868,1559375727.96,,
71,,,,0.837,1559375728.058,,
72,,,,0.807,1559375728.158,,
73,,,,0.778,1559375728.257,,
74,,,,0.749,1559375728.356,,
75,,,,0.718,1559375728.458,,
76,,,,0.687,1559375728.557,,
77,,,,0.658,1559375728.673,,
78,,,,0.628,1559375728.772,,
79,,,,0.598,1559375728.873,,
80,,,,0.562,1559375728.973,,
81,,,,0.532,1559375729.073,,
82,,,,0.503,1559375729.172,,
83,,,,0.473,1559375729.272,,
84,,,,0.442,1559375729.37,,
85,,,,0.413,1559375729.469,,
86,,,,0.384,1559375729.568,,
87,,,,0.355,1559375729.667,,
88,,,,0.317,1559375729.814,,
89,,,,0.295,1559375729.865,,
90,,,,0.265,1559375729.965,,
91,,,,0.235,1559375730.066,,
92,,,,0.206,1559375730.166,,
93,,,,0.177,1559375730.281,,
94,,,,0.146,1559375730.381,,
95,,,,0.117,1559375730.482,,
96,,,,0.079,1559375730.58,,
97,,,,0.05,1559375730.68,,
98,,,,0.022,1559375730.779,,
99,,,,-0.002,1559375730.878,,
